Date,Open,High,Low,Close,Volume,news_count,news_indices
2024-02-07 22:00:00,189.248,189.337,189.044,189.168,0,0,
2024-02-07 22:30:00,189.167,189.368,188.927,189.199,0,0,
2024-02-07 23:00:00,,,,,0,0,
2024-02-07 23:30:00,,,,,0,1,953
2024-02-08 00:00:00,,,,,0,0,
2024-02-08 00:30:00,,,,,0,0,
2024-02-08 01:00:00,,,,,0,0,
2024-02-08 01:30:00,,,,,0,0,
2024-02-08 02:00:00,,,,,0,0,
2024-02-08 02:30:00,,,,,0,1,952
2024-02-08 03:00:00,,,,,0,0,
2024-02-08 03:30:00,,,,,0,0,
2024-02-08 04:00:00,,,,,0,0,
2024-02-08 04:30:00,,,,,0,0,
2024-02-08 05:00:00,,,,,0,0,
2024-02-08 05:30:00,,,,,0,0,
2024-02-08 06:00:00,,,,,0,0,
2024-02-08 06:30:00,,,,,0,0,
2024-02-08 07:00:00,,,,,0,0,
2024-02-08 07:30:00,,,,,0,0,
2024-02-08 08:00:00,,,,,0,0,
2024-02-08 08:30:00,,,,,0,0,
2024-02-08 09:00:00,,,,,0,1,951
2024-02-08 09:30:00,,,,,0,1,950
2024-02-08 10:00:00,,,,,0,0,
2024-02-08 10:30:00,,,,,0,0,
2024-02-08 11:00:00,,,,,0,1,949
2024-02-08 11:30:00,,,,,0,0,
2024-02-08 12:00:00,,,,,0,0,
2024-02-08 12:30:00,,,,,0,1,948
2024-02-08 13:00:00,,,,,0,2,"946,947"
2024-02-08 13:30:00,,,,,0,1,945
2024-02-08 14:00:00,,,,,0,0,
2024-02-08 14:30:00,,,,,0,0,
2024-02-08 15:00:00,,,,,0,1,944
2024-02-08 15:30:00,,,,,0,0,
2024-02-08 16:00:00,,,,,0,1,943
2024-02-08 16:30:00,188.85,189.5,188.675,188.921,0,1,942
2024-02-08 17:00:00,188.921,188.921,187.751,187.778,0,1,941
2024-02-08 17:30:00,187.781,188.099,187.33,188.095,0,0,
2024-02-08 18:00:00,188.095,188.199,187.81,187.973,0,1,940
2024-02-08 18:30:00,187.973,188.389,187.911,188.389,0,0,
2024-02-08 19:00:00,188.379,188.707,188.2,188.685,0,0,
2024-02-08 19:30:00,188.681,188.725,188.04,188.065,0,0,
2024-02-08 20:00:00,188.061,188.339,187.98,188.209,0,1,939
2024-02-08 20:30:00,188.209,188.325,188.05,188.137,0,0,
2024-02-08 21:00:00,188.129,188.269,187.98,188.0,0,0,
2024-02-08 21:30:00,187.995,188.199,187.97,188.155,0,0,
2024-02-08 22:00:00,188.159,188.425,188.113,188.32,0,2,"937,938"
2024-02-08 22:30:00,188.331,188.357,188.085,188.13,0,1,936
2024-02-08 23:00:00,,,,,0,1,935
2024-02-08 23:30:00,,,,,0,0,
2024-02-09 00:00:00,,,,,0,0,
2024-02-09 00:30:00,,,,,0,0,
2024-02-09 01:00:00,,,,,0,0,
2024-02-09 01:30:00,,,,,0,0,
2024-02-09 02:00:00,,,,,0,0,
2024-02-09 02:30:00,,,,,0,0,
2024-02-09 03:00:00,,,,,0,0,
2024-02-09 03:30:00,,,,,0,0,
2024-02-09 04:00:00,,,,,0,0,
2024-02-09 04:30:00,,,,,0,0,
2024-02-09 05:00:00,,,,,0,0,
2024-02-09 05:30:00,,,,,0,1,934
2024-02-09 06:00:00,,,,,0,0,
2024-02-09 06:30:00,,,,,0,1,933
2024-02-09 07:00:00,,,,,0,0,
2024-02-09 07:30:00,,,,,0,0,
2024-02-09 08:00:00,,,,,0,0,
2024-02-09 08:30:00,,,,,0,0,
2024-02-09 09:00:00,,,,,0,0,
2024-02-09 09:30:00,,,,,0,0,
2024-02-09 10:00:00,,,,,0,1,932
2024-02-09 10:30:00,,,,,0,0,
2024-02-09 11:00:00,,,,,0,1,931
2024-02-09 11:30:00,,,,,0,0,
2024-02-09 12:00:00,,,,,0,0,
2024-02-09 12:30:00,,,,,0,0,
2024-02-09 13:00:00,,,,,0,0,
2024-02-09 13:30:00,,,,,0,1,930
2024-02-09 14:00:00,,,,,0,0,
2024-02-09 14:30:00,,,,,0,0,
2024-02-09 15:00:00,,,,,0,0,
2024-02-09 15:30:00,,,,,0,1,929
2024-02-09 16:00:00,,,,,0,0,
2024-02-09 16:30:00,188.411,188.651,188.21,188.651,0,1,928
2024-02-09 17:00:00,188.643,188.743,188.34,188.473,0,1,927
2024-02-09 17:30:00,188.468,188.817,188.38,188.657,0,1,926
2024-02-09 18:00:00,188.663,189.831,188.651,189.563,0,0,
2024-02-09 18:30:00,189.563,189.973,189.503,189.764,0,0,
2024-02-09 19:00:00,189.757,189.823,189.073,189.321,0,0,
2024-02-09 19:30:00,189.321,189.663,189.13,189.631,0,0,
2024-02-09 20:00:00,189.62,189.643,189.292,189.458,0,2,"924,925"
2024-02-09 20:30:00,189.458,189.512,189.021,189.051,0,0,
2024-02-09 21:00:00,189.062,189.063,188.72,188.831,0,0,
2024-02-09 21:30:00,188.831,189.014,188.73,188.923,0,2,"922,923"
